# UN member-state Wikipedia network -- built 2026-09-09
# All 193 UN member states from Wikipedia's Category:Member_states_of_the_United_Nations
# (redirects resolved; 2 miscategorized non-country pages excluded, see notebook Step 1).
# 193 nodes. node_id matches un_edges.tsv.
node_id	name	wikidata_id	url	description
Saint_Vincent_and_the_Grenadines	Saint Vincent and the Grenadines	Q757	https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines	Saint Vincent and the Grenadines, sometimes known simply as Saint Vincent, is an archipelagic country in the eastern Caribbean.
Samoa	Samoa	Q683	https://en.wikipedia.org/wiki/Samoa	Samoa, officially the Independent State of Samoa, is an island country in Polynesia, a part of Oceania, which is in the South Pacific Ocean.
San_Marino	San Marino	Q238	https://en.wikipedia.org/wiki/San_Marino	San Marino, officially the Republic of San Marino (RSM), is a landlocked country in Southern Europe, completely surrounded by Italy.
Saudi_Arabia	Saudi Arabia	Q851	https://en.wikipedia.org/wiki/Saudi_Arabia	Saudi Arabia, officially the Kingdom of Saudi Arabia (KSA),  is a country in West Asia that occupies the bulk of the Arabian Peninsula.
Senegal	Senegal	Q1041	https://en.wikipedia.org/wiki/Senegal	Senegal, officially the Republic of Senegal, is the westernmost country of mainland West Africa, situated along the Atlantic Ocean coast.
Serbia	Serbia	Q403	https://en.wikipedia.org/wiki/Serbia	Serbia, officially the Republic of Serbia, is a landlocked country in Southeastern and Central Europe.
Seychelles	Seychelles	Q1042	https://en.wikipedia.org/wiki/Seychelles	Seychelles ( , ; French: [sɛʃɛl] or [seʃɛl]), officially the Republic of Seychelles (French: République des Seychelles; Seychellois Creole: Repiblik Sesel), is an archipelagic country consisting of 115 islands in the Indian Ocean.
Sierra_Leone	Sierra Leone	Q1044	https://en.wikipedia.org/wiki/Sierra_Leone	Sierra Leone, officially the Republic of Sierra Leone, is a country on the west coast of West Africa.
Singapore	Singapore	Q334	https://en.wikipedia.org/wiki/Singapore	Singapore, officially the Republic of Singapore, is an island country in Southeast Asia.
Slovakia	Slovakia	Q214	https://en.wikipedia.org/wiki/Slovakia	Slovakia, officially the Slovak Republic, is a landlocked country in Central Europe.
Slovenia	Slovenia	Q215	https://en.wikipedia.org/wiki/Slovenia	Slovenia, officially the Republic of Slovenia, is a country in Central Europe.
Solomon_Islands	Solomon Islands	Q685	https://en.wikipedia.org/wiki/Solomon_Islands	Solomon Islands, also known simply as the Solomons, is an archipelagic country consisting of six major islands and over 1,000 smaller islands in Melanesia, Oceania, to the north-east of Australia.
Somalia	Somalia	Q1045	https://en.wikipedia.org/wiki/Somalia	Somalia, officially the Federal Republic of Somalia, is the easternmost country in continental Africa.
South_Africa	South Africa	Q258	https://en.wikipedia.org/wiki/South_Africa	South Africa, officially the Republic of South Africa (RSA), is the southernmost country in Africa.
South_Korea	South Korea	Q884	https://en.wikipedia.org/wiki/South_Korea	South Korea, officially the Republic of Korea (ROK), is a country in East Asia.
South_Sudan	South Sudan	Q958	https://en.wikipedia.org/wiki/South_Sudan	South Sudan (), officially the Republic of South Sudan, is a landlocked country in East Africa.
Spain	Spain	Q29	https://en.wikipedia.org/wiki/Spain	Spain, officially the Kingdom of Spain, is a country in Southern and Western Europe with territories in North Africa.
